time,gFx,gFy,gFz
2026-07-15 17:1:48.3820,-0.126,-1.235,-0.096,1.245
2026-07-15 17:1:48.3850,-0.126,-1.235,-0.096,1.245
2026-07-15 17:1:48.3850,-0.126,-1.235,-0.096,1.245
2026-07-15 17:1:48.3980,-0.023,-1.103,0.01,1.103
2026-07-15 17:1:48.4020,-0.048,-0.962,0.011,0.963
2026-07-15 17:1:48.4180,-0.051,-0.952,-0.044,0.954
2026-07-15 17:1:48.4210,-0.058,-0.934,-0.05,0.937
2026-07-15 17:1:48.4320,-0.105,-0.922,-0.035,0.929
2026-07-15 17:1:48.4420,-0.101,-0.945,-0.022,0.951
2026-07-15 17:1:48.4520,-0.092,-0.954,-0.035,0.959
2026-07-15 17:1:48.4620,-0.107,-0.982,-0.044,0.989
2026-07-15 17:1:48.4750,-0.102,-1.011,-0.051,1.017
2026-07-15 17:1:48.4960,-0.095,-1.037,-0.059,1.043
2026-07-15 17:1:48.4970,-0.095,-1.037,-0.059,1.043
2026-07-15 17:1:48.5020,-0.093,-1.036,-0.059,1.042
2026-07-15 17:1:48.5180,-0.101,-1.022,-0.054,1.028
2026-07-15 17:1:48.5220,-0.116,-0.999,-0.053,1.007
2026-07-15 17:1:48.5320,-0.105,-0.975,-0.054,0.982
2026-07-15 17:1:48.5420,-0.112,-0.97,-0.049,0.978
2026-07-15 17:1:48.5520,-0.11,-0.969,-0.056,0.977
2026-07-15 17:1:48.5640,-0.1,-0.967,-0.064,0.974
2026-07-15 17:1:48.5770,-0.093,-0.972,-0.069,0.979
2026-07-15 17:1:48.5990,-0.091,-0.973,-0.072,0.98
2026-07-15 17:1:48.5990,-0.091,-0.973,-0.072,0.98
2026-07-15 17:1:48.6020,-0.098,-0.965,-0.07,0.972
2026-07-15 17:1:48.6180,-0.106,-0.967,-0.064,0.975
2026-07-15 17:1:48.6220,-0.113,-0.971,-0.065,0.98
2026-07-15 17:1:48.6320,-0.123,-0.978,-0.069,0.988
2026-07-15 17:1:48.6420,-0.131,-0.98,-0.072,0.991
2026-07-15 17:1:48.6520,-0.133,-0.975,-0.071,0.987
2026-07-15 17:1:48.6640,-0.122,-0.964,-0.065,0.974
2026-07-15 17:1:48.6780,-0.117,-0.957,-0.051,0.965
2026-07-15 17:1:48.6990,-0.127,-0.961,-0.032,0.97
2026-07-15 17:1:48.6990,-0.127,-0.961,-0.032,0.97
2026-07-15 17:1:48.7020,-0.133,-0.976,-0.045,0.986
2026-07-15 17:1:48.7180,-0.136,-0.993,-0.059,1.004
2026-07-15 17:1:48.7220,-0.146,-0.995,-0.058,1.007
2026-07-15 17:1:48.7330,-0.143,-0.988,-0.056,1.0
2026-07-15 17:1:48.7420,-0.111,-0.982,-0.075,0.991
2026-07-15 17:1:48.7530,-0.082,-0.991,-0.075,0.997
2026-07-15 17:1:48.7640,-0.061,-1.015,-0.08,1.02
2026-07-15 17:1:48.7780,-0.057,-1.018,-0.1,1.024
2026-07-15 17:1:48.8000,-0.06,-0.994,-0.068,0.998
2026-07-15 17:1:48.8000,-0.06,-0.994,-0.068,0.998
2026-07-15 17:1:48.8020,-0.051,-1.003,-0.051,1.006
2026-07-15 17:1:48.8180,-0.047,-1.019,-0.041,1.021
2026-07-15 17:1:48.8220,-0.078,-1.059,-0.01,1.062
2026-07-15 17:1:48.8330,-0.067,-1.064,0.035,1.067
2026-07-15 17:1:48.8430,-0.043,-1.061,0.083,1.065
2026-07-15 17:1:48.8530,-0.076,-1.032,0.124,1.042
2026-07-15 17:1:48.8640,-0.13,-1.009,0.093,1.022
2026-07-15 17:1:48.8780,-0.13,-1.001,0.022,1.01
2026-07-15 17:1:48.8990,-0.106,-0.986,-0.018,0.992
2026-07-15 17:1:48.8990,-0.106,-0.986,-0.018,0.992
2026-07-15 17:1:48.9020,-0.087,-0.98,0.01,0.984
2026-07-15 17:1:48.9180,-0.06,-0.977,0.027,0.979
2026-07-15 17:1:48.9220,-0.034,-0.98,0.029,0.981
2026-07-15 17:1:48.9330,-0.024,-0.988,0.021,0.989
2026-07-15 17:1:48.9430,-0.019,-1.0,0.013,1.0
2026-07-15 17:1:48.9530,-0.019,-1.005,0.008,1.005
2026-07-15 17:1:48.9640,-0.022,-1.012,0.004,1.012
2026-07-15 17:1:49.0020,-0.024,-1.021,0.008,1.021
2026-07-15 17:1:49.0020,-0.024,-1.021,0.008,1.021
2026-07-15 17:1:49.0020,-0.024,-1.021,0.008,1.021
2026-07-15 17:1:49.0030,-0.021,-1.02,0.008,1.02
2026-07-15 17:1:49.0170,-0.021,-1.014,0.007,1.014
2026-07-15 17:1:49.0230,-0.025,-1.009,0.007,1.009
2026-07-15 17:1:49.0330,-0.032,-1.004,0.009,1.005
2026-07-15 17:1:49.0430,-0.038,-0.998,0.011,0.999
2026-07-15 17:1:49.0530,-0.045,-0.995,0.013,0.996
2026-07-15 17:1:49.0640,-0.052,-0.995,0.011,0.996
2026-07-15 17:1:49.1010,-0.085,-1.0,0.006,1.004
2026-07-15 17:1:49.1010,-0.085,-1.0,0.006,1.004
2026-07-15 17:1:49.1020,-0.085,-1.0,0.006,1.004
2026-07-15 17:1:49.1030,-0.097,-1.001,0.008,1.006
2026-07-15 17:1:49.1180,-0.105,-1.006,0.008,1.011
2026-07-15 17:1:49.1230,-0.112,-1.01,0.01,1.016
2026-07-15 17:1:49.1330,-0.118,-1.017,0.012,1.024
2026-07-15 17:1:49.1430,-0.12,-1.024,0.013,1.031
2026-07-15 17:1:49.1530,-0.115,-1.028,0.012,1.034
2026-07-15 17:1:49.1640,-0.106,-1.034,0.011,1.039
2026-07-15 17:1:49.1990,-0.083,-1.05,0.027,1.054
2026-07-15 17:1:49.1990,-0.083,-1.05,0.027,1.054
2026-07-15 17:1:49.1990,-0.083,-1.05,0.027,1.054
2026-07-15 17:1:49.2030,-0.079,-1.046,0.032,1.049
2026-07-15 17:1:49.2180,-0.075,-1.037,0.035,1.04
2026-07-15 17:1:49.2230,-0.076,-1.026,0.032,1.029
2026-07-15 17:1:49.2330,-0.077,-1.019,0.021,1.022
2026-07-15 17:1:49.2430,-0.08,-1.016,0.007,1.019
2026-07-15 17:1:49.2540,-0.082,-1.017,-0.002,1.02
2026-07-15 17:1:49.2630,-0.08,-1.022,-0.002,1.025
2026-07-15 17:1:49.3000,-0.107,-1.041,0.03,1.047
2026-07-15 17:1:49.3000,-0.107,-1.041,0.03,1.047
2026-07-15 17:1:49.3000,-0.107,-1.041,0.03,1.047
2026-07-15 17:1:49.3030,-0.121,-1.047,0.037,1.055
2026-07-15 17:1:49.3180,-0.135,-1.049,0.038,1.058
2026-07-15 17:1:49.3230,-0.143,-1.05,0.035,1.06
2026-07-15 17:1:49.3330,-0.154,-1.045,0.036,1.057
2026-07-15 17:1:49.3430,-0.167,-1.028,0.038,1.042
2026-07-15 17:1:49.3540,-0.18,-1.007,0.04,1.024
2026-07-15 17:1:49.3640,-0.183,-0.991,0.044,1.009
2026-07-15 17:1:49.3790,-0.182,-0.981,0.054,0.999
2026-07-15 17:1:49.4020,-0.171,-0.984,0.059,1.0
2026-07-15 17:1:49.4020,-0.171,-0.984,0.059,1.0
2026-07-15 17:1:49.4030,-0.16,-0.984,0.047,0.998
2026-07-15 17:1:49.4190,-0.143,-0.988,0.029,0.999
2026-07-15 17:1:49.4230,-0.124,-0.995,0.007,1.003
2026-07-15 17:1:49.4340,-0.109,-1.0,-0.003,1.006
2026-07-15 17:1:49.4430,-0.095,-1.006,0.003,1.01
2026-07-15 17:1:49.4540,-0.093,-1.01,0.019,1.014
2026-07-15 17:1:49.4640,-0.105,-1.008,0.03,1.014
2026-07-15 17:1:49.5000,-0.113,-0.994,0.04,1.001
2026-07-15 17:1:49.5000,-0.113,-0.994,0.04,1.001
2026-07-15 17:1:49.5000,-0.113,-0.994,0.04,1.001
2026-07-15 17:1:49.5030,-0.1,-0.985,0.023,0.99
2026-07-15 17:1:49.5170,-0.081,-0.979,0.008,0.982
2026-07-15 17:1:49.5230,-0.061,-0.973,-0.005,0.975
2026-07-15 17:1:49.5340,-0.043,-0.971,-0.019,0.972
2026-07-15 17:1:49.5440,-0.029,-0.973,-0.031,0.974
2026-07-15 17:1:49.5540,-0.017,-0.978,-0.041,0.979
2026-07-15 17:1:49.5640,-0.011,-0.985,-0.049,0.986
2026-07-15 17:1:49.5990,-0.012,-0.984,-0.046,0.985
2026-07-15 17:1:49.5990,-0.012,-0.984,-0.046,0.985
2026-07-15 17:1:49.5990,-0.012,-0.984,-0.046,0.985
2026-07-15 17:1:49.6040,-0.02,-0.986,-0.046,0.987
2026-07-15 17:1:49.6170,-0.026,-0.987,-0.041,0.988
2026-07-15 17:1:49.6240,-0.029,-0.988,-0.047,0.99
2026-07-15 17:1:49.6340,-0.03,-0.991,-0.055,0.993
2026-07-15 17:1:49.6440,-0.029,-0.996,-0.056,0.998
2026-07-15 17:1:49.6540,-0.031,-1.0,-0.05,1.002
2026-07-15 17:1:49.6640,-0.034,-1.005,-0.041,1.006
2026-07-15 17:1:49.7020,-0.032,-1.011,-0.017,1.012
2026-07-15 17:1:49.7020,-0.032,-1.011,-0.017,1.012
2026-07-15 17:1:49.7020,-0.032,-1.011,-0.017,1.012
2026-07-15 17:1:49.7040,-0.036,-1.005,-0.012,1.006
2026-07-15 17:1:49.7170,-0.047,-0.995,-0.01,0.996
2026-07-15 17:1:49.7240,-0.055,-0.986,-0.013,0.988
2026-07-15 17:1:49.7340,-0.066,-0.978,-0.017,0.98
2026-07-15 17:1:49.7440,-0.074,-0.967,-0.025,0.97
2026-07-15 17:1:49.7540,-0.084,-0.961,-0.036,0.965
2026-07-15 17:1:49.7650,-0.095,-0.957,-0.039,0.962
2026-07-15 17:1:49.8010,-0.116,-0.959,-0.046,0.967
2026-07-15 17:1:49.8010,-0.116,-0.959,-0.046,0.967
2026-07-15 17:1:49.8010,-0.116,-0.959,-0.046,0.967
2026-07-15 17:1:49.8040,-0.121,-0.961,-0.047,0.97
2026-07-15 17:1:49.8180,-0.114,-0.959,-0.044,0.967
2026-07-15 17:1:49.8240,-0.104,-0.954,-0.039,0.96
2026-07-15 17:1:49.8340,-0.096,-0.949,-0.038,0.955
2026-07-15 17:1:49.8440,-0.091,-0.949,-0.033,0.954
2026-07-15 17:1:49.8540,-0.086,-0.95,-0.033,0.954
2026-07-15 17:1:49.8640,-0.085,-0.949,-0.027,0.953
2026-07-15 17:1:49.9020,-0.134,-0.947,-0.009,0.956
2026-07-15 17:1:49.9030,-0.134,-0.947,-0.009,0.956
2026-07-15 17:1:49.9030,-0.134,-0.947,-0.009,0.956
2026-07-15 17:1:49.9040,-0.156,-0.944,-0.0,0.957
